time,city,pm2_5,pm10,ozone
2025-12-15 12:00:00,bengaluru,28.9,30.7,107
2025-12-11 00:00:00,delhi,105.2,106.2,45
2025-12-11 01:00:00,delhi,110.1,111.1,37
2025-12-11 02:00:00,delhi,124.3,125.3,28
2025-12-11 03:00:00,delhi,130.4,131.3,36
2025-12-11 04:00:00,delhi,123.9,124.3,79
2025-12-11 05:00:00,delhi,110.8,111.5,139
2025-12-11 06:00:00,delhi,90.3,91.0,183
2025-12-11 07:00:00,delhi,71.2,71.9,199
2025-12-11 08:00:00,delhi,61.7,62.2,199
2025-12-11 09:00:00,delhi,55.5,56.0,188
2025-12-11 10:00:00,delhi,52.0,52.5,163
2025-12-11 11:00:00,delhi,55.1,55.4,126
2025-12-11 12:00:00,delhi,69.6,69.8,94
2025-12-11 13:00:00,delhi,85.2,85.4,70
2025-12-11 14:00:00,delhi,96.4,96.9,49
2025-12-11 15:00:00,delhi,107.8,108.3,34
2025-12-11 16:00:00,delhi,121.1,121.5,27
2025-12-11 17:00:00,delhi,133.6,134.1,25
2025-12-11 18:00:00,delhi,138.3,138.8,24
2025-12-11 19:00:00,delhi,135.5,136.0,24
2025-12-11 20:00:00,delhi,132.2,132.7,24
2025-12-11 21:00:00,delhi,131.8,132.2,24
2025-12-11 22:00:00,delhi,132.2,133.2,22
2025-12-11 23:00:00,delhi,133.2,134.1,18
2025-12-12 00:00:00,delhi,136.4,136.9,17
2025-12-12 01:00:00,delhi,144.4,144.8,13
2025-12-12 02:00:00,delhi,159.3,160.2,12
2025-12-12 03:00:00,delhi,162.5,163.4,28
2025-12-12 04:00:00,delhi,146.2,146.7,79
2025-12-12 05:00:00,delhi,124.3,125.3,149
2025-12-12 06:00:00,delhi,99.7,100.4,203
2025-12-12 07:00:00,delhi,80.3,81.0,230
2025-12-12 08:00:00,delhi,71.9,72.6,242
2025-12-12 09:00:00,delhi,68.2,69.2,237
2025-12-12 10:00:00,delhi,67.1,68.0,211
2025-12-12 11:00:00,delhi,75.7,76.6,169
2025-12-12 12:00:00,delhi,110.6,111.5,127
2025-12-12 13:00:00,delhi,147.6,148.5,89
2025-12-12 14:00:00,delhi,179.7,180.7,51
2025-12-12 15:00:00,delhi,210.9,211.4,23
2025-12-12 16:00:00,delhi,238.4,239.3,10
2025-12-12 17:00:00,delhi,261.7,262.6,7
2025-12-12 18:00:00,delhi,273.8,274.7,6
2025-12-12 19:00:00,delhi,267.3,268.2,6
2025-12-12 20:00:00,delhi,257.0,258.0,7
2025-12-12 21:00:00,delhi,245.9,246.8,9
2025-12-12 22:00:00,delhi,238.0,238.4,9
2025-12-12 23:00:00,delhi,232.4,233.3,8
2025-12-13 00:00:00,delhi,229.1,230.0,10
2025-12-13 01:00:00,delhi,232.8,233.3,9
2025-12-13 02:00:00,delhi,250.5,251.5,10
2025-12-13 03:00:00,delhi,271.9,271.9,34
2025-12-13 04:00:00,delhi,215.1,215.6,104
2025-12-13 05:00:00,delhi,175.6,176.5,196
2025-12-13 06:00:00,delhi,135.5,136.4,266
2025-12-13 07:00:00,delhi,106.2,107.1,295
2025-12-13 08:00:00,delhi,92.2,93.4,301
2025-12-13 09:00:00,delhi,88.2,89.6,292
2025-12-13 10:00:00,delhi,87.5,88.7,265
2025-12-13 11:00:00,delhi,110.8,112.0,222
2025-12-13 12:00:00,delhi,149.0,150.4,178
2025-12-13 13:00:00,delhi,192.8,194.2,131
2025-12-13 14:00:00,delhi,227.2,228.2,83
2025-12-13 15:00:00,delhi,239.3,240.3,49
2025-12-13 16:00:00,delhi,231.4,231.9,40
2025-12-13 17:00:00,delhi,217.5,218.4,46
2025-12-13 18:00:00,delhi,204.4,205.4,51
2025-12-13 19:00:00,delhi,194.2,195.1,51
2025-12-13 20:00:00,delhi,189.5,190.5,50
2025-12-13 21:00:00,delhi,188.6,189.1,48
2025-12-13 22:00:00,delhi,187.7,188.6,45
2025-12-13 23:00:00,delhi,187.7,188.6,42
2025-12-14 00:00:00,delhi,189.1,189.5,40
2025-12-14 01:00:00,delhi,197.0,197.4,30
2025-12-14 02:00:00,delhi,218.4,218.9,21
2025-12-14 03:00:00,delhi,241.2,242.1,38
2025-12-14 04:00:00,delhi,198.8,199.3,105
2025-12-14 05:00:00,delhi,167.6,168.1,199
2025-12-14 06:00:00,delhi,140.2,140.6,269
2025-12-14 07:00:00,delhi,118.0,119.2,298
2025-12-14 08:00:00,delhi,102.7,104.1,305
2025-12-14 09:00:00,delhi,94.1,95.2,295
2025-12-14 10:00:00,delhi,89.4,90.8,265
2025-12-14 11:00:00,delhi,99.0,100.1,219
2025-12-14 12:00:00,delhi,130.4,131.8,173
2025-12-14 13:00:00,delhi,161.1,162.1,128
2025-12-14 14:00:00,delhi,190.9,191.9,83
2025-12-14 15:00:00,delhi,215.6,216.5,49
2025-12-14 16:00:00,delhi,236.6,237.5,32
2025-12-14 17:00:00,delhi,252.4,253.3,27
2025-12-14 18:00:00,delhi,258.0,259.8,24
2025-12-14 19:00:00,delhi,253.3,254.3,22
2025-12-14 20:00:00,delhi,243.1,244.9,22
2025-12-14 21:00:00,delhi,230.5,231.4,24
2025-12-14 22:00:00,delhi,214.7,215.6,26
2025-12-14 23:00:00,delhi,196.5,197.4,29
2025-12-15 00:00:00,delhi,181.6,182.5,32
2025-12-15 01:00:00,delhi,177.9,178.8,31
2025-12-15 02:00:00,delhi,185.8,187.2,31
2025-12-15 03:00:00,delhi,183.0,183.9,46
2025-12-15 04:00:00,delhi,158.3,159.3,93
2025-12-15 05:00:00,delhi,131.3,132.2,156
2025-12-15 06:00:00,delhi,93.6,95.2,200
2025-12-15 07:00:00,delhi,64.0,65.7,210
2025-12-15 08:00:00,delhi,49.4,51.1,201
2025-12-15 09:00:00,delhi,44.4,46.1,185
2025-12-15 10:00:00,delhi,43.3,44.9,162
2025-12-15 11:00:00,delhi,45.4,46.8,132
2025-12-15 12:00:00,delhi,56.9,58.1,111
2025-12-11 00:00:00,hyderabad,29.5,30.4,92
2025-12-11 01:00:00,hyderabad,29.0,29.7,86
2025-12-11 02:00:00,hyderabad,30.2,30.7,79
2025-12-11 03:00:00,hyderabad,27.1,27.4,82
2025-12-11 04:00:00,hyderabad,21.7,22.0,105
2025-12-11 05:00:00,hyderabad,18.5,18.9,139
2025-12-11 06:00:00,hyderabad,16.8,17.2,163
2025-12-11 07:00:00,hyderabad,16.3,16.6,171
2025-12-11 08:00:00,hyderabad,15.7,16.0,169
2025-12-11 09:00:00,hyderabad,15.0,15.3,163
2025-12-11 10:00:00,hyderabad,14.6,15.0,152
2025-12-11 11:00:00,hyderabad,14.6,15.0,136
2025-12-11 12:00:00,hyderabad,18.1,18.4,119
2025-12-11 13:00:00,hyderabad,24.0,24.3,102
2025-12-11 14:00:00,hyderabad,27.8,28.2,84
2025-12-11 15:00:00,hyderabad,30.3,30.7,72
2025-12-11 16:00:00,hyderabad,32.5,32.9,68
2025-12-11 17:00:00,hyderabad,34.9,35.5,68
2025-12-11 18:00:00,hyderabad,36.6,37.3,70
2025-12-11 19:00:00,hyderabad,36.8,37.6,72
2025-12-11 20:00:00,hyderabad,37.0,38.0,74
2025-12-11 21:00:00,hyderabad,37.4,38.4,77
2025-12-11 22:00:00,hyderabad,37.1,38.3,80
2025-12-11 23:00:00,hyderabad,36.9,38.2,82
2025-12-12 00:00:00,hyderabad,37.0,38.5,83
2025-12-12 01:00:00,hyderabad,40.5,42.1,77
2025-12-12 02:00:00,hyderabad,48.8,50.4,69
2025-12-12 03:00:00,hyderabad,42.0,43.1,72
2025-12-12 04:00:00,hyderabad,24.4,25.7,96
2025-12-12 05:00:00,hyderabad,19.5,20.8,131
2025-12-12 06:00:00,hyderabad,18.2,19.8,157
2025-12-12 07:00:00,hyderabad,18.1,20.0,168
2025-12-12 08:00:00,hyderabad,18.1,20.1,171
2025-12-12 09:00:00,hyderabad,18.2,20.3,169
2025-12-12 10:00:00,hyderabad,18.6,20.7,160
2025-12-12 11:00:00,hyderabad,19.3,21.3,146
2025-12-12 12:00:00,hyderabad,23.9,25.6,130
2025-12-12 13:00:00,hyderabad,30.6,32.4,112
2025-12-12 14:00:00,hyderabad,35.4,37.3,93
2025-12-12 15:00:00,hyderabad,38.9,40.7,79
2025-12-12 16:00:00,hyderabad,41.4,43.5,74
2025-12-12 17:00:00,hyderabad,44.6,46.9,74
2025-12-12 18:00:00,hyderabad,46.7,49.1,76
2025-12-12 19:00:00,hyderabad,46.7,49.4,79
2025-12-12 20:00:00,hyderabad,47.0,49.8,83
2025-12-12 21:00:00,hyderabad,47.6,50.5,87
2025-12-12 22:00:00,hyderabad,48.3,51.5,91
2025-12-12 23:00:00,hyderabad,49.1,52.4,94
2025-12-13 00:00:00,hyderabad,49.7,53.2,95
2025-12-13 01:00:00,hyderabad,52.9,56.5,90
2025-12-13 02:00:00,hyderabad,61.0,64.7,84
2025-12-13 03:00:00,hyderabad,56.5,59.1,86
2025-12-13 04:00:00,hyderabad,31.5,34.3,107
2025-12-13 05:00:00,hyderabad,24.4,26.8,136
2025-12-13 06:00:00,hyderabad,22.8,24.7,159
2025-12-13 07:00:00,hyderabad,23.0,24.7,169
2025-12-13 08:00:00,hyderabad,23.1,24.9,172
2025-12-13 09:00:00,hyderabad,23.1,24.8,170
2025-12-13 10:00:00,hyderabad,22.9,24.7,161
2025-12-13 11:00:00,hyderabad,23.2,24.9,145
2025-12-13 12:00:00,hyderabad,27.8,29.2,129
2025-12-13 13:00:00,hyderabad,34.1,35.5,110
2025-12-13 14:00:00,hyderabad,38.0,39.2,91
2025-12-13 15:00:00,hyderabad,39.8,41.2,77
2025-12-13 16:00:00,hyderabad,41.2,42.6,74
2025-12-13 17:00:00,hyderabad,42.6,44.0,77
2025-12-13 18:00:00,hyderabad,42.7,44.2,82
2025-12-13 19:00:00,hyderabad,42.1,43.7,88
2025-12-13 20:00:00,hyderabad,42.1,43.7,96
2025-12-13 21:00:00,hyderabad,42.8,44.4,102
2025-12-13 22:00:00,hyderabad,43.5,45.2,107
2025-12-13 23:00:00,hyderabad,44.4,45.9,111
2025-12-14 00:00:00,hyderabad,45.8,47.4,112
2025-12-14 01:00:00,hyderabad,50.1,51.6,108
2025-12-14 02:00:00,hyderabad,59.8,61.2,101
2025-12-14 03:00:00,hyderabad,52.7,53.8,102
2025-12-14 04:00:00,hyderabad,34.7,36.0,119
2025-12-14 05:00:00,hyderabad,31.5,32.9,143
2025-12-14 06:00:00,hyderabad,27.9,29.3,161
2025-12-14 07:00:00,hyderabad,26.6,28.0,168
2025-12-14 08:00:00,hyderabad,26.1,27.7,170
2025-12-14 09:00:00,hyderabad,26.0,27.6,166
2025-12-14 10:00:00,hyderabad,25.7,27.5,157
2025-12-14 11:00:00,hyderabad,26.0,27.8,142
2025-12-14 12:00:00,hyderabad,31.2,32.6,126
2025-12-14 13:00:00,hyderabad,38.1,39.6,107
2025-12-14 14:00:00,hyderabad,42.5,43.9,86
2025-12-14 15:00:00,hyderabad,45.6,47.0,72
2025-12-14 16:00:00,hyderabad,48.3,49.7,68
2025-12-14 17:00:00,hyderabad,49.9,51.3,71
2025-12-14 18:00:00,hyderabad,50.3,51.8,75
2025-12-14 19:00:00,hyderabad,49.9,51.5,80
2025-12-14 20:00:00,hyderabad,50.3,51.9,87
2025-12-14 21:00:00,hyderabad,51.0,52.7,93
2025-12-14 22:00:00,hyderabad,51.8,53.6,98
2025-12-14 23:00:00,hyderabad,52.6,54.4,102
2025-12-15 00:00:00,hyderabad,54.4,56.1,104
2025-12-15 01:00:00,hyderabad,59.3,61.0,101
2025-12-15 02:00:00,hyderabad,69.6,71.5,97
2025-12-15 03:00:00,hyderabad,58.0,59.1,101
2025-12-15 04:00:00,hyderabad,41.6,43.0,121
2025-12-15 05:00:00,hyderabad,36.9,38.3,148
2025-12-15 06:00:00,hyderabad,33.9,35.4,168
2025-12-15 07:00:00,hyderabad,32.6,34.2,174
2025-12-15 08:00:00,hyderabad,32.4,34.0,172
2025-12-15 09:00:00,hyderabad,32.2,34.0,167
2025-12-15 10:00:00,hyderabad,32.5,34.2,156
2025-12-15 11:00:00,hyderabad,33.3,35.0,142
2025-12-15 12:00:00,hyderabad,37.1,38.5,131
2025-12-11 00:00:00,kolkata,187.2,190.5,44
2025-12-11 01:00:00,kolkata,183.9,186.3,57
2025-12-11 02:00:00,kolkata,176.0,178.3,76
2025-12-11 03:00:00,kolkata,167.2,169.0,102
2025-12-11 04:00:00,kolkata,154.6,156.9,142
2025-12-11 05:00:00,kolkata,127.6,131.3,189
2025-12-11 06:00:00,kolkata,90.6,96.6,223
2025-12-11 07:00:00,kolkata,82.0,88.5,236
2025-12-11 08:00:00,kolkata,78.5,84.8,236
2025-12-11 09:00:00,kolkata,77.3,83.6,226
2025-12-11 10:00:00,kolkata,77.1,82.9,204
2025-12-11 11:00:00,kolkata,95.5,100.1,173
2025-12-11 12:00:00,kolkata,120.6,125.7,142
2025-12-11 13:00:00,kolkata,145.3,149.9,114
2025-12-11 14:00:00,kolkata,165.8,170.4,87
2025-12-11 15:00:00,kolkata,181.1,185.8,65
2025-12-11 16:00:00,kolkata,193.2,197.9,51
2025-12-11 17:00:00,kolkata,201.6,206.3,41
2025-12-11 18:00:00,kolkata,205.8,210.5,34
2025-12-11 19:00:00,kolkata,209.1,213.3,28
2025-12-11 20:00:00,kolkata,210.5,214.7,23
2025-12-11 21:00:00,kolkata,209.5,213.7,20
2025-12-11 22:00:00,kolkata,209.1,212.8,14
2025-12-11 23:00:00,kolkata,209.1,212.8,9
2025-12-12 00:00:00,kolkata,210.9,214.7,15
2025-12-12 01:00:00,kolkata,219.3,223.1,38
2025-12-12 02:00:00,kolkata,218.4,221.2,73
2025-12-12 03:00:00,kolkata,187.7,189.5,109
2025-12-12 04:00:00,kolkata,139.2,142.5,148
2025-12-12 05:00:00,kolkata,90.8,94.3,188
2025-12-12 06:00:00,kolkata,61.7,65.4,217
2025-12-12 07:00:00,kolkata,57.3,61.0,230
2025-12-12 08:00:00,kolkata,54.9,58.6,232
2025-12-12 09:00:00,kolkata,53.9,57.4,224
2025-12-12 10:00:00,kolkata,54.2,57.4,202
2025-12-12 11:00:00,kolkata,69.2,71.7,171
2025-12-12 12:00:00,kolkata,91.0,93.6,141
2025-12-12 13:00:00,kolkata,110.6,112.9,115
2025-12-12 14:00:00,kolkata,126.2,128.5,91
2025-12-12 15:00:00,kolkata,138.3,140.6,72
2025-12-12 16:00:00,kolkata,148.1,150.4,60
2025-12-12 17:00:00,kolkata,153.2,155.5,53
2025-12-12 18:00:00,kolkata,152.3,154.6,48
2025-12-12 19:00:00,kolkata,151.3,153.7,44
2025-12-12 20:00:00,kolkata,151.8,153.7,43
2025-12-12 21:00:00,kolkata,152.7,155.1,40
2025-12-12 22:00:00,kolkata,155.1,157.4,32
2025-12-12 23:00:00,kolkata,159.3,161.6,23
2025-12-13 00:00:00,kolkata,162.5,164.8,26
2025-12-13 01:00:00,kolkata,169.5,171.8,48
2025-12-13 02:00:00,kolkata,163.0,164.4,83
2025-12-13 03:00:00,kolkata,137.4,138.8,117
2025-12-13 04:00:00,kolkata,106.6,108.0,151
2025-12-13 05:00:00,kolkata,68.2,69.6,185
2025-12-13 06:00:00,kolkata,47.1,48.7,210
2025-12-13 07:00:00,kolkata,43.2,44.9,223
2025-12-13 08:00:00,kolkata,41.7,43.7,226
2025-12-13 09:00:00,kolkata,40.9,43.1,220
2025-12-13 10:00:00,kolkata,41.0,43.1,199
2025-12-13 11:00:00,kolkata,53.8,55.5,169
2025-12-13 12:00:00,kolkata,76.1,77.8,140
2025-12-13 13:00:00,kolkata,92.0,93.8,116
2025-12-13 14:00:00,kolkata,102.2,103.8,94
2025-12-13 15:00:00,kolkata,106.9,109.0,77
2025-12-13 16:00:00,kolkata,110.6,113.4,66
2025-12-13 17:00:00,kolkata,113.6,116.9,59
2025-12-13 18:00:00,kolkata,113.4,117.1,54
2025-12-13 19:00:00,kolkata,112.9,116.9,50
2025-12-13 20:00:00,kolkata,112.5,116.2,47
2025-12-13 21:00:00,kolkata,111.5,115.5,45
2025-12-13 22:00:00,kolkata,111.3,115.0,40
2025-12-13 23:00:00,kolkata,112.0,115.9,36
2025-12-14 00:00:00,kolkata,114.8,118.7,40
2025-12-14 01:00:00,kolkata,123.9,128.5,58
2025-12-14 02:00:00,kolkata,122.5,126.7,84
2025-12-14 03:00:00,kolkata,105.9,108.5,112
2025-12-14 04:00:00,kolkata,84.3,86.6,143
2025-12-14 05:00:00,kolkata,58.3,61.5,176
2025-12-14 06:00:00,kolkata,44.0,47.6,201
2025-12-14 07:00:00,kolkata,39.1,43.1,215
2025-12-14 08:00:00,kolkata,38.5,42.6,221
2025-12-14 09:00:00,kolkata,38.6,42.8,217
2025-12-14 10:00:00,kolkata,39.8,43.9,200
2025-12-14 11:00:00,kolkata,61.7,65.2,175
2025-12-14 12:00:00,kolkata,89.4,92.9,148
2025-12-14 13:00:00,kolkata,113.9,117.3,122
2025-12-14 14:00:00,kolkata,133.2,136.4,95
2025-12-14 15:00:00,kolkata,145.3,148.5,74
2025-12-14 16:00:00,kolkata,152.7,156.5,62
2025-12-14 17:00:00,kolkata,155.5,160.7,57
2025-12-14 18:00:00,kolkata,153.7,159.3,52
2025-12-14 19:00:00,kolkata,151.3,156.9,47
2025-12-14 20:00:00,kolkata,150.4,156.0,44
2025-12-14 21:00:00,kolkata,151.8,157.4,40
2025-12-14 22:00:00,kolkata,154.6,160.2,31
2025-12-14 23:00:00,kolkata,156.5,161.6,21
2025-12-15 00:00:00,kolkata,156.5,161.6,24
2025-12-15 01:00:00,kolkata,162.1,167.6,47
2025-12-15 02:00:00,kolkata,156.5,161.6,83
2025-12-15 03:00:00,kolkata,126.7,129.9,117
2025-12-15 04:00:00,kolkata,95.2,98.3,148
2025-12-15 05:00:00,kolkata,57.0,60.8,178
2025-12-15 06:00:00,kolkata,38.1,42.3,201
2025-12-15 07:00:00,kolkata,35.5,39.8,215
2025-12-15 08:00:00,kolkata,35.4,39.6,220
2025-12-15 09:00:00,kolkata,35.3,39.3,216
2025-12-15 10:00:00,kolkata,36.2,40.0,194
2025-12-15 11:00:00,kolkata,52.0,54.9,162
2025-12-15 12:00:00,kolkata,76.1,78.9,138
2025-12-11 00:00:00,mumbai,30.7,30.7,26
2025-12-11 01:00:00,mumbai,29.8,29.9,23
2025-12-11 02:00:00,mumbai,32.2,32.4,24
2025-12-11 03:00:00,mumbai,36.2,36.3,40
2025-12-11 04:00:00,mumbai,38.8,38.8,84
2025-12-11 05:00:00,mumbai,39.7,39.7,143
2025-12-11 06:00:00,mumbai,38.6,38.6,198
2025-12-11 07:00:00,mumbai,40.2,40.2,248
2025-12-11 08:00:00,mumbai,47.4,47.4,292
2025-12-11 09:00:00,mumbai,49.5,49.7,313
2025-12-11 10:00:00,mumbai,47.8,48.3,293
2025-12-11 11:00:00,mumbai,43.7,44.4,250
2025-12-11 12:00:00,mumbai,35.5,36.3,209
2025-12-11 13:00:00,mumbai,27.4,28.5,181
2025-12-11 14:00:00,mumbai,23.3,24.5,156
2025-12-11 15:00:00,mumbai,23.6,24.6,135
2025-12-11 16:00:00,mumbai,26.7,27.5,117
2025-12-11 17:00:00,mumbai,30.4,31.0,103
2025-12-11 18:00:00,mumbai,33.2,33.5,90
2025-12-11 19:00:00,mumbai,32.5,32.6,79
2025-12-11 20:00:00,mumbai,30.6,30.7,71
2025-12-11 21:00:00,mumbai,28.8,28.9,63
2025-12-11 22:00:00,mumbai,27.6,27.8,56
2025-12-11 23:00:00,mumbai,27.0,27.2,50
2025-12-12 00:00:00,mumbai,27.1,27.3,45
2025-12-12 01:00:00,mumbai,28.3,28.5,36
2025-12-12 02:00:00,mumbai,32.6,32.7,28
2025-12-12 03:00:00,mumbai,37.6,37.8,41
2025-12-12 04:00:00,mumbai,41.1,41.3,87
2025-12-12 05:00:00,mumbai,42.1,42.4,154
2025-12-12 06:00:00,mumbai,42.1,42.4,217
2025-12-12 07:00:00,mumbai,46.0,46.3,278
2025-12-12 08:00:00,mumbai,52.9,53.2,337
2025-12-12 09:00:00,mumbai,65.4,65.9,367
2025-12-12 10:00:00,mumbai,53.3,53.9,351
2025-12-12 11:00:00,mumbai,49.8,50.6,306
2025-12-12 12:00:00,mumbai,44.1,45.1,261
2025-12-12 13:00:00,mumbai,35.9,37.0,221
2025-12-12 14:00:00,mumbai,30.9,32.1,181
2025-12-12 15:00:00,mumbai,28.5,29.9,149
2025-12-12 16:00:00,mumbai,27.7,29.0,131
2025-12-12 17:00:00,mumbai,29.3,30.4,122
2025-12-12 18:00:00,mumbai,32.5,33.3,113
2025-12-12 19:00:00,mumbai,35.3,36.0,101
2025-12-12 20:00:00,mumbai,37.5,38.0,89
2025-12-12 21:00:00,mumbai,38.5,38.9,78
2025-12-12 22:00:00,mumbai,38.8,39.1,69
2025-12-12 23:00:00,mumbai,38.6,38.9,62
2025-12-13 00:00:00,mumbai,38.5,38.8,57
2025-12-13 01:00:00,mumbai,38.3,38.6,48
2025-12-13 02:00:00,mumbai,41.3,41.7,42
2025-12-13 03:00:00,mumbai,44.2,44.6,55
2025-12-13 04:00:00,mumbai,47.7,48.2,101
2025-12-13 05:00:00,mumbai,49.8,50.3,168
2025-12-13 06:00:00,mumbai,49.5,50.1,234
2025-12-13 07:00:00,mumbai,54.5,55.3,304
2025-12-13 08:00:00,mumbai,68.2,69.2,373
2025-12-13 09:00:00,mumbai,69.4,70.3,410
